Status;Raum;Datum;Von;Bis;Periodizität;Bemerkung;Benutzer
Bestätigt;GE07;21.10.2017;09:00;17:00;einmalig;EHB: FuB-17-620 -- e,Nr.2442,Beamer;weco
Bestätigt;K108;21.10.2017;08:00;12:15;wöchentlich;TEKO: O-MTK-17-T-a -- e, Beamer, Nr.2393;oy312002
Storniert;K308;21.10.2017;07:30;15:05;wöchentlich;sfb: UP1AOLT -- e, Nr.2399, Beamer ;oy312002
Bestätigt;K301;21.10.2017;07:30;15:05;wöchentlich;sfb: UP1AOLT -- e, Nr. 2399, Beamer ;oy312002
Bestätigt;K316;21.10.2017;07:30;15:05;wöchentlich;sfb: UP6AOLT -- e, Nr.2401, Beamer ;oy312002
Bestätigt;K208;21.10.2017;08:00;17:30;einmalig;EHB: Arbeitsgruppe Revision Dentalassistent/in EFZ -- e,Nr.2370,Beamer,FC;weco
Bestätigt;K103;21.10.2017;09:15;16:45;einmalig;FS-Personalvorsorge: F16 -- e,Beamer,31TN,Nr.2289;aj302252
Bestätigt;K203;21.10.2017;09:15;16:45;einmalig;FS-Personalvorsorge: F17 --e,Beamer,Achtung 33TN,Nr.2284;aj302252
Bestätigt;K314;21.10.2017;10:00;17:00;einmalig;AkDaF: Workshop--e,FC,Pinnwand,17TN,Nr.2245;aj302252
Bestätigt;K101;21.10.2017;09:15;16:45;einmalig;FS: Personalvorsorge D17 -- e,Beamer,30TN,Nr.2199;aj302252
Bestätigt;Foyer GIBS;20.10.2017;16:00;20:00;einmalig;Ausstellung ÜK 1+2 ZFA -- e, 2x10 Tische in Reihe;gesu
Bestätigt;GE11;20.10.2017;09:00;13:00;einmalig;EHB: Besprechung Diplomarbeit DABU -- e, Nr. 2420;gesu
Bestätigt;K208;20.10.2017;08:00;13:00;einmalig;"QV-Vorbereitung 2018 Bekleidungsgestalter -- e; Nr. 2433, Beamer";gesu
Bestätigt;K304;20.10.2017;18:00;21:30;wöchentlich;sfb: UP5AOLT-15H -- e, Nr.2398, Beamer ;oy312002
Bestätigt;K311;20.10.2017;18:00;21:30;wöchentlich;sfb: UP4AOLT-16F -- e, Nr. 2397, Beamer ;oy312002
Bestätigt;K315;20.10.2017;18:00;21:30;täglich;sfb: UP2AOLT-17F -- e,Nr.2396,Beamer,Zimmer K302 öffnen;oy312002
Bestätigt;K108, K101, K103;19.10.2017;13:00;17:00;einmalig;Aprentas: Präsentationen -- e,Nr.2430, Beamer, Flipchart, Pinnwand;rl311690
Storniert;GE06;19.10.2017;08:00;17:00;einmalig;EHB: PEX-Kurs für Betriebe -- e, Nr. 2359, Beamer;gesu
Bestätigt;GE07, GE06;19.10.2017;08:00;17:00;einmalig;ÜK ZFA 1+2 2017 -- e,Hr. Hochuli,Nr.2153,Stühle+Tische vom GE07,30TN;weco
Bestätigt;GE30/32;18.10.2017;17:15;21:45;wöchentlich;Swiss-Pan: Panflötenunterricht -- e, Nr.2369, Garagetor auf automatisch ;oy312002
Bestätigt;GE07;17.10.2017;12:00;18:00;einmalig;Entrepreneurship -- e,G.Berger,4TN,Wasser,Schöggeli,Kaffeeraum GE08 öffnen;weco
Storniert;CBBZ;17.10.2017;09:00;13:00;einmalig;ARGE AVANTI - Agr MV -- , Nr.2264,Beamer;aj302252
Bestätigt;K016;17.10.2017;08:30;16:15;wöchentlich;SIU: Detailhandelsspezialist/-in 172589 -- e, Nr.  2419, Beamer;gesu
Bestätigt;B029;17.10.2017;08:00;09:00;wöchentlich;Deutsch HF ;mami
Bestätigt;Aula GIBS;17.10.2017;07:00;13:00;einmalig;ÜK 2 ZFA -- e, AB2153, Beamer, Dig.P., Video;gesu
Storniert;K212;17.10.2017;09:00;13:00;einmalig;ARGE AVANTI - Agr MV -- e,Beamer,Nr.2264;aj302252
Bestätigt;G409, G404, G413, G402, G411;16.10.2017;07:30;17:30;täglich;ÜK ZFA 1+2 -- e, AB 2153, Beamer, Dig.P., Laserdrucker A3, Netzwerk;gesu
Bestätigt;;;00:00;00:00;einmalig;;wbma
Storniert;;;00:00;00:00;wöchentlich;LOG 15c;scal
